Number of species	104
Number of genes	2928999
Number of genes in orthogroups	2790505
Number of unassigned genes	138494
Percentage of genes in orthogroups	95.3
Percentage of unassigned genes	4.7
Number of orthogroups	74713
Number of species-specific orthogroups	2609
Number of genes in species-specific orthogroups	9165
Percentage of genes in species-specific orthogroups	0.3
Mean orthogroup size	37.3
Median orthogroup size	4.0
G50 (assigned genes)	117
G50 (all genes)	113
O50 (assigned genes)	5880
O50 (all genes)	6484
Number of orthogroups with all species present	2572
Number of single-copy orthogroups	67
Date	2020-06-28
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	64522	86.4	928231	33.3
'1	8096	10.8	1026662	36.8
'2	1311	1.8	320798	11.5
'3	363	0.5	127843	4.6
'4	154	0.2	70838	2.5
'5	64	0.1	36072	1.3
'6	49	0.1	33147	1.2
'7	19	0.0	14852	0.5
'8	26	0.0	22689	0.8
'9	12	0.0	12027	0.4
'10	13	0.0	14167	0.5
11-15	33	0.0	44894	1.6
16-20	23	0.0	42464	1.5
21-50	27	0.0	79187	2.8
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	1	0.0	16634	0.6
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	2609
2	21644
3	10548
4	6347
5	3517
6	2739
7	1899
8	1440
9	1085
10	877
11	637
12	480
13	440
14	344
15	308
16	293
17	196
18	232
19	197
20	180
21	176
22	148
23	144
24	115
25	114
26	99
27	100
28	119
29	90
30	79
31	79
32	75
33	70
34	69
35	79
36	67
37	51
38	63
39	63
40	55
41	41
42	59
43	51
44	52
45	54
46	62
47	51
48	44
49	36
50	50
51	36
52	54
53	40
54	51
55	44
56	57
57	40
58	47
59	41
60	42
61	66
62	57
63	47
64	45
65	57
66	55
67	57
68	60
69	46
70	74
71	47
72	55
73	80
74	77
75	87
76	80
77	76
78	75
79	95
80	89
81	108
82	87
83	116
84	115
85	148
86	159
87	171
88	176
89	184
90	193
91	211
92	239
93	248
94	272
95	318
96	330
97	480
98	599
99	812
100	1088
101	1549
102	2052
103	2342
104	2572
